1776341289.227437,101.896464,0.000000,0.000000,175.932000
1776341289.327573,3.846585,0.000000,0.000000,177.780000
1776341289.428608,7.083746,0.500000,1.562500,177.780000
1776341289.528439,4.579870,0.400000,1.250000,176.064000
1776341289.628372,4.374693,0.400000,1.250000,177.380000
1776341289.728580,4.088917,0.400000,1.250000,176.068000
1776341289.828443,3.748534,0.400000,1.250000,177.648000
1776341289.928431,3.580261,0.400000,1.250000,177.644000
1776341290.028404,4.535689,0.400000,1.250000,177.728000
1776341290.127451,3.669754,0.400000,1.250000,177.716000
1776341290.228351,4.517135,0.400000,1.250000,177.716000
1776341290.328547,7.414555,0.400000,1.250000,177.120000
1776341290.428419,3.399812,0.500000,1.562500,177.644000
1776341290.528615,3.260012,0.400000,1.250000,177.908000
1776341290.628583,3.401412,0.500000,1.562500,178.096000
1776341290.728438,4.689283,0.300000,0.937500,178.024000
1776341290.828391,3.631798,0.400000,1.250000,178.104000
1776341290.927501,4.247225,0.300000,0.937500,178.104000
1776341291.028435,4.376190,0.200000,0.625000,178.016000
1776341291.128374,4.350051,0.300000,0.937500,177.860000
1776341291.228513,7.537776,0.500000,1.562500,178.124000
1776341291.328383,3.861536,0.500000,1.562500,177.952000
1776341291.428654,3.334616,0.444444,1.388889,176.200000
1776341291.527350,3.330145,0.363636,1.136364,177.784000
1776341291.628469,4.312078,0.400000,1.250000,178.048000
1776341291.728410,4.369473,0.400000,1.250000,178.144000
1776341291.828308,3.931048,0.400000,1.250000,178.144000
1776341291.928434,4.410347,0.400000,1.250000,178.040000
1776341292.028610,3.515097,0.400000,1.250000,178.120000
1776341292.128440,3.993733,0.400000,1.250000,178.048000
1776341292.228656,3.494690,0.400000,1.250000,178.136000
1776341292.328306,3.186897,0.400000,1.250000,178.136000
1776341292.428540,3.724640,0.400000,1.250000,178.044000
1776341292.528381,3.530887,0.400000,1.250000,178.140000
1776341292.628391,3.200409,0.444444,1.388889,178.140000
1776341292.728453,3.554760,0.363636,1.136364,178.040000
1776341292.828342,3.542088,0.400000,1.250000,178.148000
1776341292.928267,3.707978,0.400000,1.250000,178.148000
1776341293.028466,3.480853,0.333333,1.041667,178.040000
1776341293.128324,4.201497,0.363636,1.136364,177.876000
1776341293.228635,4.841732,0.400000,1.250000,176.384000
1776341293.328493,4.948591,0.500000,1.562500,177.968000
1776341293.428278,5.073226,0.400000,1.250000,178.048000
1776341293.528572,4.040719,0.500000,1.562500,178.140000
1776341293.628518,4.816785,0.300000,0.937500,178.048000
